state_code,population_age_median,population_total_count,population_18yr_over_count,population_25yr_over_count,population_25yr_over_with_bachelor_degree_count,population_18_34yr_over_count,population_25_64yr_over_count,population_65yr_over_count,population_bachelors_count,population_graduate_count,population_household_type_total_count,population_household_income_family_median,population_household_income_earnings_median,population_employment_total_count,population_employed_count,population_unemployed_count,housing_units_occupancy_status_total_count,housing_units_occupied_count,housing_units_vacant_count,housing_units_vacancy_status_total_count,housing_units_for_rent_count,housing_units_rented_count,housing_units_for_sale_count,housing_units_sold_count,number_of_rooms_median,number_of_units_total_count,construction_year_median,contract_rent_median,home_value_lower_quartile,home_value_median,home_value_upper_quartile,housing_units_mortgage_status_total_count,housing_cost_real_estate_taxes_median,housing_cost_monthly_median,gross_rent_median,household_income_median,household_income_mean,household_income_under_10k_count,household_income_10k_15k_count,household_income_15k_20k_count,household_income_20k_25k_count,household_income_25k_30k_count,household_income_30k_35k_count,household_income_35k_40k_count,household_income_40k_45k_count,household_income_45k_50k_count,household_income_50k_60k_count,household_income_60k_75k_count,household_income_75k_100k_count,household_income_100k_125k_count,household_income_125k_150k_count,household_income_150k_200k_count,household_income_200k_over_count,families_total_count
30,40.2,1105072,870130,770335,175932,228253,402845,211127,175932,90134,1105072,88127,38870,897820,539136,21045,522939,452683,70256,70256,8264,1568,3306,2262,5.6,522939,1980,894,205100,338100,533800,314266,2535,1065,1031,69922,94544,19987,17225,15782,18319,17718,18647,18454,18414,18016,33564,47090,62240,45915,30056,34683,36573,274878
32,38.9,3141000,2448129,2196081,390041,690592,1206264,516282,390041,211352,3141000,89735,41834,2528760,1474290,107736,1307338,1183393,123945,123945,35043,5284,8274,4686,5.3,1307338,1996,1313,295000,406100,575000,701914,1970,1468,1489,75561,102911,62113,34410,32961,41975,41207,43083,44872,42259,43925,81957,119023,160615,124552,89560,104584,116297,756370
23,44.8,1377400,1125518,1016630,223713,253482,543846,289725,223713,135610,1377400,93307,42374,1157198,688248,28048,746552,589085,157467,157467,7027,1674,3806,2792,5.5,746552,1976,938,160700,266400,415800,436029,2926,1137,1084,71773,96507,24173,22896,21419,22878,23105,22394,22446,23605,22287,42598,58304,76994,62038,45215,49045,49688,357418
24,39.3,6170738,4794802,4272813,959925,1273969,2422742,973974,959925,866120,6170738,124487,55342,4954123,3133266,162773,2545532,2339510,206022,206022,39584,7023,14943,8402,6.2,2545532,1979,1479,269000,397700,598900,1578702,3989,1760,1662,101652,133800,100403,58390,51467,53091,56239,57693,61126,60400,62470,125870,181884,280693,253323,197609,290282,448570,1529098
40,36.9,3995260,3031877,2641325,478236,867142,1428314,620819,478236,255557,3995260,80611,39039,3142477,1808400,93199,1763036,1542780,220256,220256,38992,5392,13293,12302,5.5,1763036,1980,772,106700,185900,287000,1015207,1520,968,980,63603,87325,87593,65708,58392,64678,74454,62987,65178,64808,63652,123296,154194,200530,147257,96474,107656,105923,996398
44,40.5,1095371,886891,776505,172759,232648,418664,191173,172759,116908,1095371,109979,47806,912681,555915,33634,484615,436902,47713,47713,7706,1856,2137,1539,5.4,484615,1961,1108,274200,368800,504400,276344,4854,1521,1273,86372,112642,19328,18925,14438,12716,12096,13368,13240,12485,13793,24856,37302,56513,46082,38812,46393,56555,269437
48,35.5,29640343,22157813,19294631,4078930,6843327,10917362,3804838,4078930,2303041,29640343,91752,42495,23026070,14140748,765912,11890808,10747240,1143568,1143568,326361,49443,75671,47493,5.4,11890808,1990,1155,154400,260400,408600,6723729,4111,1343,1339,76292,106819,535594,364740,329388,373776,379943,375925,390618,392737,384830,735311,1027837,1370596,1061100,786029,980289,1258527,7310348
50,43,645254,528077,462996,114217,124229,249407,130034,114217,83152,645254,102104,44003,543008,337258,12815,337072,269466,67606,67606,2623,805,1855,868,5.6,337072,1976,1053,193400,290500,433400,196162,4956,1341,1193,78024,103603,10526,9322,8611,10048,9378,9670,8962,9656,9743,18045,26234,34909,29032,21120,26749,27461,159473
53,38.2,7740984,6065086,5409147,1279696,1755070,2937240,1222006,1279696,817458,7740984,114068,52247,6252501,3781332,198360,3262667,3020558,242109,242109,50052,12796,14799,10558,5.5,3262667,1984,1524,344500,519800,780900,1929694,4361,1737,1682,94952,129559,114137,81110,70369,76422,79719,79324,83799,86987,87812,179819,261601,381522,326847,252358,339947,518785,1928170
54,42.7,1784462,1425051,1269202,175886,342368,673036,358607,175886,119655,1784462,74981,38136,1469375,740597,45018,859653,721448,138205,138205,14058,2067,7292,4319,5.9,859653,1976,642,83300,155600,248700,536082,835,725,850,57917,78799,44905,42122,34186,37274,33570,32932,31208,31331,30364,54317,70205,91070,63523,41603,43653,39185,452362
38,35.7,779361,594569,509149,115348,181006,267832,118731,115348,49030,779361,103383,45088,613763,404575,11847,374866,325079,49787,49787,12388,2489,3091,1315,5.7,374866,1981,835,140400,241100,361500,206123,2392,969,934,75949,100487,14150,11523,10891,10863,12279,11242,11734,12226,11361,23480,30865,45189,34819,24882,29579,29996,188295
42,40.9,12986518,10312707,9153146,1883145,2613473,4900489,2383920,1883145,1274173,12986518,97349,45214,10628282,6315752,349819,5779663,5235339,544324,544324,83610,24223,34429,28324,6,5779663,1965,959,144300,240500,378600,3629624,3241,1175,1162,76081,104925,250575,192652,174192,190699,184663,189613,188011,187968,184855,350808,490569,675902,535540,384588,472270,582434,3286621
51,38.8,8657499,6763514,5958915,1390116,1829236,3326373,1374370,1390116,1081514,8657499,112146,49405,6980834,4258744,191415,3654784,3326260,328524,328524,57205,16907,20213,15085,6,3654784,1984,1320,220000,360700,596700,2234492,2686,1519,1514,90974,125226,139074,95151,85537,95900,98300,96709,99233,102811,99397,202153,284058,403298,340988,263389,357399,562863,2166150
